invoice_id,buyer_name,invoice_amount,issue_date,due_date,payment_date
INV-1001,Orbit Electronics,41710.22,2024-01-03,2024-01-24,2024-02-02
INV-1002,Global Textiles,25124.34,2024-01-04,2024-01-19,2024-01-18
INV-1003,Garnet Media,4605.0,2024-01-04,2024-01-25,2024-02-09
INV-1004,Ridge Minerals,45813.78,2024-01-04,2024-02-18,2024-02-21
INV-1005,Quantum Steel,29898.53,2024-01-05,2024-01-26,2024-01-31
INV-1006,Vista Packaging,37097.44,2024-01-06,2024-01-27,2024-02-05
INV-1007,Arjun Hardware,7501.81,2024-01-06,2024-02-20,2024-02-25
INV-1008,Zara Knitwear,20846.67,2024-01-10,2024-01-25,2024-01-23
INV-1009,Bright Solar,66276.43,2024-01-12,2024-02-11,2024-02-06
INV-1010,Horizon Tech,45923.78,2024-01-16,2024-03-16,2024-04-19
INV-1011,Indus Logistics,15246.63,2024-01-16,2024-02-06,2024-02-21
INV-1012,Saffron Exports,8287.64,2024-01-16,2024-02-15,2024-02-13
INV-1013,Nimbus Cloud Soft,34471.56,2024-01-17,2024-02-16,2024-02-11
INV-1014,Radiant Apparel,13406.45,2024-01-18,2024-02-02,2024-02-01
INV-1015,Unity Wholesalers,16995.75,2024-01-18,2024-02-08,2024-02-07
INV-1016,Willow Dairy,10899.68,2024-01-18,2024-02-17,2024-02-17
INV-1017,Quantum Steel,9605.06,2024-01-21,2024-02-20,2024-02-29
INV-1018,Vista Packaging,13905.28,2024-01-22,2024-02-21,2024-02-19
INV-1019,Zenith Chemicals,20870.41,2024-01-22,2024-03-22,2024-04-11
INV-1020,Chirag Plastics,35774.11,2024-01-22,2024-02-21,2024-02-16
INV-1021,Titan Auto Parts,31353.2,2024-01-23,2024-02-22,2024-03-08
INV-1022,Ridge Minerals,16705.82,2024-01-23,2024-02-22,2024-03-29
INV-1023,Arjun Hardware,8264.94,2024-01-25,2024-03-10,2024-03-08
INV-1024,Nova Pharma,37019.1,2024-01-26,2024-02-25,2024-02-24
INV-1025,Xenon Batteries,41378.68,2024-01-26,2024-03-11,2024-03-20
INV-1026,Garnet Media,20726.75,2024-01-27,2024-03-12,2024-03-17
INV-1027,Prime Agro,5282.95,2024-01-28,2024-02-27,2024-03-06
INV-1028,Aarav Spices,4711.91,2024-01-28,2024-02-27,2024-03-07
INV-1029,Orbit Electronics,18592.65,2024-01-29,2024-02-28,2024-03-04
INV-1030,Jade Organics,12567.58,2024-01-29,2024-02-19,2024-02-19
INV-1031,Global Textiles,21119.14,2024-01-30,2024-02-14,2024-02-12
INV-1032,Alpha Retail,15753.21,2024-01-31,2024-02-21,2024-02-19
INV-1033,Echo Manufacturing,36806.27,2024-01-31,2024-03-16,2024-04-19
INV-1034,Fresh Mart,12821.44,2024-01-31,2024-02-21,2024-02-26
INV-1035,Bright Solar,49118.46,2024-01-31,2024-03-01,2024-03-01
INV-1036,Kite Interiors,14446.06,2024-01-31,2024-03-16,2024-04-04
INV-1037,Zara Knitwear,27890.11,2024-02-01,2024-02-16,2024-02-14
INV-1038,Horizon Tech,27560.02,2024-02-02,2024-03-03,2024-03-11
INV-1039,Delta Traders,21568.13,2024-02-03,2024-03-04,2024-02-28
INV-1040,Ivory Ceramics,22570.25,2024-02-03,2024-02-18,2024-02-13
INV-1041,Beta Foods,17559.47,2024-02-04,2024-03-05,2024-03-12
INV-1042,Walnut Woods,30515.9,2024-02-04,2024-02-19,2024-02-17
INV-1043,Dhanvi Jewels,7470.7,2024-02-05,2024-03-06,2024-03-21
INV-1044,Everest Mines,31611.56,2024-02-06,2024-03-22,2024-03-25
INV-1045,Saffron Exports,5217.15,2024-02-06,2024-02-27,2024-03-03
INV-1046,Lotus Ayurveda,37566.08,2024-02-07,2024-03-08,2024-03-03
INV-1047,Willow Dairy,19515.67,2024-02-08,2024-02-23,2024-02-21
INV-1048,Nimbus Cloud Soft,32212.52,2024-02-08,2024-02-23,2024-02-21
INV-1049,Chirag Plastics,12479.61,2024-02-08,2024-02-29,2024-02-27
