invoice_id,buyer_name,invoice_amount,issue_date,due_date,payment_date
INV-2001,Omega Traders,14000,2025-01-04,2025-01-19,2025-01-22
INV-2002,Omega Traders,7800,2025-01-15,2025-01-30,2025-01-29
INV-2003,Omega Traders,9200,2025-02-01,2025-02-16,2025-02-20
INV-2004,Omega Traders,11000,2025-02-12,2025-02-27,2025-03-02
INV-2005,Omega Traders,6500,2025-03-03,2025-03-18,2025-03-25

INV-2006,Fresh Supplies,5000,2025-01-10,2025-01-25,2025-02-05
INV-2007,Fresh Supplies,7200,2025-01-22,2025-02-06,2025-02-14
INV-2008,Fresh Supplies,8100,2025-02-08,2025-02-23,2025-02-28
INV-2009,Fresh Supplies,4600,2025-02-20,2025-03-07,2025-03-18
INV-2010,Fresh Supplies,5300,2025-03-05,2025-03-20,2025-03-27

INV-2011,Urban Mart,18000,2025-01-02,2025-02-01,2025-01-30
INV-2012,Urban Mart,16500,2025-01-18,2025-02-17,2025-02-25
INV-2013,Urban Mart,15000,2025-02-03,2025-03-05,2025-03-10
INV-2014,Urban Mart,17200,2025-02-20,2025-03-22,2025-03-21
INV-2015,Urban Mart,16000,2025-03-08,2025-04-07,2025-04-15

INV-2016,Green Agro,9000,2025-01-07,2025-01-22,2025-01-21
INV-2017,Green Agro,10200,2025-01-25,2025-02-09,2025-02-18
INV-2018,Green Agro,8700,2025-02-10,2025-02-25,2025-03-01
INV-2019,Green Agro,9500,2025-02-26,2025-03-13,2025-03-20
INV-2020,Green Agro,9900,2025-03-12,2025-03-27,2025-04-05

INV-2021,Metro Builders,25000,2025-01-05,2025-02-04,2025-02-10
INV-2022,Metro Builders,23000,2025-01-20,2025-02-19,2025-02-28
INV-2023,Metro Builders,21000,2025-02-06,2025-03-08,2025-03-15
INV-2024,Metro Builders,24000,2025-02-22,2025-03-24,2025-04-02
INV-2025,Metro Builders,22000,2025-03-10,2025-04-09,2025-04-18
